"id","name","user_name","user_stars","comment_time","comment_location","content","score","url","is_use"
"35","永不消逝的电波","麦子1dSIG",,"12/7/2021","重庆站","非常好看。还想再看一遍","0.999992","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"36","永不消逝的电波","麦子",,"11/7/2021","广州站","近几年内非常难得，高水准的演出","0.999691","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"38","永不消逝的电波","黯炭",,"10/7/2021","北京站","不会吧不会吧 还有人没看过电波吗","0.00144657","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"40","永不消逝的电波","土豆卓",,"10/7/2021","上海站","精品中的精品，特别唯美。","0.999922","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"41","永不消逝的电波","麦子00l1d",,"9/7/2021","上海站","没想到舞台，音乐，服装，光影，这些就足够吸引你，更不要说旗袍群舞演绎了老上海的唯美风情，展现了东方女性的优雅身姿，我看得差点流口水? 风衣群舞刚劲有力，双人舞难舍情怀，蒲扇舞柔美中充满着弄堂里的烟火气。最打动人的是小裁缝之死，第一次看芭蕾看哭了。","0.999985","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"42","永不消逝的电波","麦子",,"9/7/2021","北京站","看到最后泪流满面……掌声不断，心潮跌宕起伏。期待八月二刷三刷","0.998639","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"44","永不消逝的电波","吃个大西瓜瓜",,"7/7/2021","上海站","开场光柱上的摩斯电码，追捕那幕的绝美雨夜布景，模拟了雨夜最美的城市灯光和雨的视效。演出当晚上海正在下小雨，雨夜老上海感觉穿越了一样，甚至都知道去哪里能看到那一幕布景。不得不说舞美真的太惊喜了，直接给观感翻倍。 更不用提演员们精彩绝伦的表演，虽然是外行，但深深被所有舞者的演绎打动了，非常感动。","0.999993","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"45","永不消逝的电波","余苗902",,"5/7/2021","广州站","好看，经典，","0.99999","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"46","永不消逝的电波","麦子",,"4/7/2021","上海站","每一个画面都是舞剧艺术的精髓，群舞、独舞都精妙绝伦。","0.923737","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"47","永不消逝的电波","kimrona",,"15/7/2021","上海站","三刷了！百看不厌，只不过外地党因为要当天来回上海很难赶上朱姐佳俊的场次，侯哥王景小姐姐也是二次见了，所有演员都很棒，有时间还要四刷！","0.999947","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"48","永不消逝的电波","麦子1PJKP",,"14/7/2021","上海站","种草已久，值得一看，舞台，音乐，剧情，演员表演一流","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"51","永不消逝的电波","丿未01",,"18/7/2021","上海站","不愧是经典的招牌剧作！红色电波永不消逝！","0.999536","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"52","永不消逝的电波","雨帆h",,"16/7/2021","上海站","好看，非常好看，不愧我期待那么久的剧，已经在考虑二刷了。上半幕很多个场景充满诗意，美如画。旗袍小姐姐的渔光曲如清晨的阳光，勾勒出江南女子的灵动温柔。而下半幕则是故事线的高潮迭起，值得讲的点太多，矛盾冲突，家国情怀，好几个人物牺牲时非常催泪，泪点低的朋友请准备好纸巾。总之，电波非常推荐，也给我打开舞剧的大门。","0.999981","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"53","永不消逝的电波","麦子6SmOP",,"16/7/2021","西安站","这是我第一次看舞剧，演员们表现的都很棒，配合的很默契，每个人物都有吸引我的地方。虽然舞剧没有什么台词，但是演员们的舞蹈和表演都深深触动了我，有一部分是有人牺牲了，我直接为演员的表演落泪，真的很好看，是我觉得可以花钱买好位置再去多看几遍的好剧。","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"54","永不消逝的电波","serafinayun",,"24/7/2021","上海站","很美的舞蹈，视觉盛宴，就是在剧情上觉得可以升华。觉得是很棒的演出","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
